mbti,description,additional,strengths,recommended_careers,career_reasons,partner_1,reason_1,partner_2,reason_2
INTJ,Strategic and analytical thinkers who plan carefully and pursue continuous self-improvement. They value competence and intellectual rigor.,They excel at independent problem solving and tend to set high standards for themselves and others.,"Strategic, analytical, visionary.","Architect, Scientist, Strategist","INTJs excel in complex planning and system design, applying their vision and logic to shape the future.",ENTJ,"ENTJ's decisive leadership and strategic vision align with INTJ's long-term planning, creating a powerhouse team of mutual respect and ambition.",ENTP,"ENTP's creativity and adaptability complement INTJ's structured approach, sparking innovative ideas while maintaining a clear plan."
INTP,"Curious and inventive, driven by an insatiable thirst for knowledge and logical analysis. They enjoy exploring abstract ideas.",They may appear absent-minded but often make breakthrough insights when exploring theoretical concepts.,"Analytical, inventive, strategic.","Researcher, Analyst, Philosopher","INTPs thrive on theoretical exploration and abstract problem-solving, making breakthroughs in research and analysis.",ENTP,"ENTP's love of debate and exploration encourages INTP's theoretical curiosity, making intellectual discussions dynamic and engaging.",INFJ,"INFJ's deep empathy and vision provide INTP with emotional insight, grounding their analytical mind in human values."
ENTJ,Bold and assertive leaders who excel at organizing teams to achieve long-term goals. They are decisive and enjoy taking charge.,They can be demanding and impatient but inspire confidence with their vision and authority.,"Visionary, decisive, commanding.","Executive, Lawyer, CEO","ENTJs lead with strategy and confidence, driving organizations toward ambitious goals.",ENFP,"ENFP's enthusiastic creativity energizes INFJ's idealism, fostering mutual inspiration and emotional connection.",ENFJ,"ENFJ's charismatic leadership supports INFJ's visionary goals, combining empathy with action to realize shared ideals."
ENTP,Quick-witted and enthusiastic innovators who love debating ideas and challenging the status quo. They thrive on mental sparring.,They can juggle multiple projects at once and are energized by brainstorming sessions.,"Innovative, enthusiastic, bold.","Entrepreneur, Consultant, Inventor","ENTPs excel at generating ideas and persuading others, ideal for leadership and innovation roles.",INFJ,"INFJ's insight and empathy mirror INFP's values, creating a nurturing environment where both feel understood and supported.",ENFJ,"ENFJ's social confidence helps INFP express their creativity, while INFP's authenticity inspires ENFJ's altruistic nature."
INFJ,"Insightful idealists with deep empathy, driven by strong values to help others. They are creative and often inspire change.",They may keep their true feelings private but are fiercely loyal to those they trust.,"Insightful, empathetic, visionary.","Counselor, Psychologist, Writer","INFJs are drawn to guiding and inspiring others, using their deep understanding of people to facilitate growth and healing.",ENFP,"ENFP's spontaneity softens ISTJ's rigidity, introducing new perspectives while ISTJ ensures stability in their adventures.",INTP,"INTP's inventive thinking complements ISTJ's practicality, balancing innovation with reliable execution."
INFP,Empathetic and imaginative dreamers guided by their core values. They seek harmony and purpose in relationships.,They are sensitive to others' emotions and often act as peacemakers.,"Idealistic, empathetic, creative.","Therapist, Writer, Artist","INFPs are motivated by their values and creativity, suited for roles that allow meaningful self-expression and helping others.",ENFP,"ENFP's warmth and enthusiasm uplift ISFJ's nurturing nature, fostering joyful support and mutual encouragement.",ESFJ,"ESFJ's sociable caretaking enhances ISFJ's protective tendencies, creating harmonious and supportive relationships."
ENFJ,"Charismatic and inspiring, they lead by example and empower others with their vision. They build strong communities.",They are skilled communicators and often serve as mentors.,"Charismatic, supportive, collaborative.","Teacher, Counselor, Diplomat","ENFJs motivate and guide others effectively, excelling in leadership and mentorship roles.",INFJ,"INFJ's empathy and principled ideals balance ESTJ's pragmatic leadership, ensuring decisions consider both logic and human values.",ESFJ,"ESFJ's collaborative nature complements ESTJ's organizational skills, combining efficiency with harmony in group settings."
ENFP,Enthusiastic free spirits who love exploring new ideas and connecting with people. They bring energy and spontaneity to relationships.,They are highly imaginative and thrive on personal growth and emotional authenticity.,"Enthusiastic, imaginative, empathetic.","Journalist, Coach, Actor","ENFPs inspire and connect with diverse people, excelling in careers that value creativity and interpersonal interaction.",INFP,"INFP's imaginative compassion enriches ESFJ's caring demeanor, fostering deep emotional bonds and shared values.",ISFJ,"ISFJ's steadfast support reinforces ESFJ's community focus, creating a stable and caring partnership."
ISTJ,Responsible and reliable organizers who value tradition and social order. They are thorough and methodical in their approach.,They have strong follow-through and expect the same level of dedication from others.,"Reliable, practical, result-oriented.","Auditor, Inspector, Administrator","ISTJs excel in roles requiring attention to detail and consistency, ensuring tasks are completed accurately and on time.",ESFJ,"ESFJ's social warmth brings ISTP out of their shell, while ISTP's spontaneity adds excitement to ESFJ's life.",ESTJ,"ESTJ's structured approach guides ISTP's adventurous spirit, ensuring their explorations are both fun and safe."
ISFJ,Supportive and practical caregivers who prioritize others' well-being. They value stability and are attentive to needs.,They often remember small details and go out of their way to help those they care about.,"Diligent, warm, supportive.","Nurse, Caregiver, Teacher",ISFJs thrive in caring professions where their empathy and reliability nurture and protect others.,ESFJ,"ESFJ's social harmony blends with ISFP's creative sensitivity, resulting in expressive and supportive companionship.",ESTJ,"ESTJ's organization provides ISFP with stability, while ISFP helps ESTJ appreciate beauty and spontaneity."
